2021-02-14/18:00:24		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:24		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:24		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:24		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:24		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:24		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:25		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:25		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:25		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:25		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:25		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:25		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:25		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:25		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:25		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:25		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:25		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:25		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:25		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:26		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:26		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:26		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:26		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:26		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:26		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:26		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:26		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:26		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:26		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:26		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:27		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:27		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:27		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:27		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:27		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:27		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:27		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:27		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:27		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:27		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:27		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:28		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:28		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:28		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:28		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:28		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:28		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:28		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:28		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:28		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:28		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:28		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:28		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:28		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:29		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:29		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:29		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:29		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:29		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:29		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:29		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:29		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:29		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:29		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:29		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:29		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:30		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:30		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:30		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:30		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:30		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:30		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:30		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:30		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:30		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:30		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:30		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:30		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:30		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:31		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:31		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:31		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:31		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:31		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:31		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:31		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:31		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:31		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:31		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:31		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:31		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:32		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:32		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:32		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:32		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:32		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:32		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:32		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:32		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:32		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:32		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:33		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:33		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:33		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:33		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:33		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:33		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:33		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:33		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:33		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:33		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:33		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-14/18:00:33		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-14/18:00:34		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-14/18:00:34		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-14/18:00:34		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-14/18:00:34		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-14/18:00:34		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-14/18:00:34		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-14/18:00:34		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-14/18:00:34		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-14/18:00:34		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-14/18:00:34		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-14/18:00:34		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-14/18:00:34		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-14/18:00:35		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-14/18:00:35		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-14/18:00:35		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-14/18:00:35		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-14/18:00:35		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-14/18:00:35		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-14/18:00:35		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-14/18:00:35		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-14/18:00:35		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-14/18:00:35		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-14/18:00:35		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-14/18:00:36		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-14/18:00:36		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-14/18:00:36		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-14/18:00:36		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-14/18:00:36		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-14/18:00:36		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-14/18:00:36		 wafer_23012020_041211.csv: File loaded successfully!!
